Gm#,Day_Of_Week,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
147,Saturday, 9/19/2015,boxscore,BOS,@,TOR,W,7,6,,70-77,5,14.5,Layne,Osuna,Ross,3:08,D,47415,+,
148,Sunday, 9/20/2015,boxscore,BOS,@,TOR,W,4,3,,71-77,5,13.5,Hill,Cecil,Ross,2:51,D,46743,++,
149,Monday, 9/21/2015,boxscore,BOS,,TBR,W,8,7,,72-77,4,13.5,Machi,Gomes,Ross,3:47,N,33673,+++,
150,Tuesday, 9/22/2015,boxscore,BOS,,TBR,L,2,5,,72-78,5,13.5,Moore,Owens,Boxberger,2:43,N,33673,-,
151,Wednesday, 9/23/2015,boxscore,BOS,,TBR,L,2,6,,72-79,5,14.5,Smyly,Porcello,Boxberger,3:30,N,32753,--,
152,Thursday, 9/24/2015,boxscore,BOS,,TBR,L,2,4,,72-80,5,15,Ramirez,Miley,Boxberger,2:39,N,34916,---,
153,Friday, 9/25/2015,boxscore,BOS,,BAL,W,7,0,,73-80,5,15,Hill,Gausman,,2:42,N,32411,+,
154,Saturday, 9/26/2015,boxscore,BOS,,BAL,W,8,0,,74-80,5,15,Hembree,Chen,,2:56,D,36316,++,
155,Sunday, 9/27/2015,boxscore,BOS,,BAL,W,2,0,,75-80,4,15,Owens,Jimenez,Ross,2:28,D,33306,+++,
156,Monday, 9/28/2015,boxscore,BOS,@,NYY,W,5,1,,76-80,3,15,Rodriguez,Nova,,2:56,N,39476,++++,
157,Tuesday, 9/29/2015,boxscore,BOS,@,NYY,W,10,4,,77-80,3,14.5,Porcello,Pineda,,2:57,N,38512,+++++,
158,Wednesday, 9/30/2015,boxscore,BOS,@,NYY,W,9,5,11,78-80,3,14,Ogando,Bailey,,4:10,N,39328,++++++,
159,Thursday, 10/1/2015,boxscore,BOS,@,NYY,L,1,4,,78-81,3,14,Sabathia,Hill,Betances,3:10,N,40033,-,
160,Friday, 10/2/2015,boxscore,BOS,@,CLE,L,2,8,,78-82,4,15,Tomlin,Owens,,3:00,N,28273,--,
161,Saturday, 10/3/2015,boxscore,BOS,@,CLE,L,0,2,,78-83,5,15,Kluber,Breslow,Allen,2:41,N,17342,---,
162,Sunday, 10/4/2015,boxscore,BOS,@,CLE,L,1,3,,78-84,5,15,Salazar,Porcello,Allen,2:46,D,17844,----,
